Packets/s;CanBidReqs/s;Median Latency;95pc Latency;99pc Latency
1593453;12747627;55us;471us;695us
1642534;13140279;55us;415us;903us
1656622;13252963;63us;431us;1015us
1654664;13237327;63us;519us;1023us
1612376;12899013;55us;511us;927us
1631670;13053361;55us;591us;999us
1615675;12925395;55us;695us;1287us
1622381;12979053;55us;743us;1367us
1637919;13103352;55us;679us;1239us
1626178;13009424;55us;639us;1151us
1611056;12888452;55us;607us;1087us
1624523;12996183;55us;527us;799us
1631659;13053267;55us;207us;975us
1636554;13092442;55us;191us;1055us
1645643;13165134;47us;271us;903us
1654135;13233095;47us;431us;951us
1642987;13143893;55us;175us;1519us
1655302;13242419;55us;175us;1399us
1624372;12994979;55us;295us;1767us
1626546;13012361;63us;327us;1703us
1643853;13150828;55us;223us;2095us
1607522;12860182;55us;343us;1423us
1638225;13105798;55us;375us;431us

