Packets/s;CanBidReqs/s;Median Latency;95pc Latency;99pc Latency
158819;1270558;439us;6415us;10111us
206993;1655951;263us;5687us;6487us
216393;1731144;191us;5535us;5895us
214657;1717259;215us;5535us;5895us
201736;1613892;255us;5999us;7399us
206868;1654951;247us;5623us;6559us
207679;1661433;143us;5711us;6943us
212004;1696039;175us;5591us;6415us
214872;1718983;159us;5671us;6623us
210077;1680622;223us;5695us;6047us
211927;1695419;151us;5583us;6359us
209843;1678744;215us;5607us;6479us
215546;1724369;191us;5591us;6647us
207511;1660091;167us;5759us;6863us
204158;1633269;351us;5711us;7383us
208290;1666320;223us;5623us;6799us
218371;1746973;215us;5407us;6167us
222017;1776143;255us;5431us;6047us
207053;1656430;191us;5807us;6759us
214147;1713179;207us;5519us;6519us
206962;1655696;151us;6047us;6911us
